Timestamp,Interface,Upload_Mbps,Download_Mbps,Packets_Sent,Packets_Received
2026-08-26 14:11:52,Wi-Fi,0.32,7.50,162,782
2026-08-26 14:11:53,Wi-Fi,0.32,3.25,111,362
2026-08-26 14:11:54,Wi-Fi,0.13,6.28,101,658
2026-08-26 14:11:55,Wi-Fi,0.06,8.78,94,853
2026-08-26 14:11:56,Wi-Fi,0.11,7.63,92,745
2026-08-26 14:11:57,Wi-Fi,0.05,7.71,89,752
2026-08-26 14:11:58,Wi-Fi,0.17,8.25,119,815
2026-08-26 14:11:59,Wi-Fi,0.12,5.85,112,604
2026-08-26 14:12:00,Wi-Fi,0.28,4.08,151,444
2026-08-26 14:12:01,Wi-Fi,0.13,2.89,93,323
2026-08-26 14:12:02,Wi-Fi,0.23,2.12,91,245
2026-08-26 14:12:03,Wi-Fi,0.21,1.98,77,235
2026-08-26 14:12:04,Wi-Fi,0.07,1.49,42,163
2026-08-26 14:12:05,Wi-Fi,0.10,0.95,46,109
2026-08-26 14:12:06,Wi-Fi,0.09,2.36,71,238
2026-08-26 14:12:07,Wi-Fi,0.02,2.37,29,230
2026-08-26 14:37:05,Wi-Fi,0.00,0.00,1,2
2026-08-26 14:37:06,Wi-Fi,0.00,0.00,1,0
2026-08-26 14:37:07,Wi-Fi,0.00,0.00,2,0
2026-08-26 14:37:08,Wi-Fi,0.08,0.01,5,8
2026-08-26 14:37:09,Wi-Fi,0.14,0.04,36,38
2026-08-26 14:37:10,Wi-Fi,0.12,0.10,33,33
2026-08-26 14:37:11,Wi-Fi,0.07,0.01,11,10
2026-08-26 14:37:12,Wi-Fi,0.11,0.04,11,14
2026-08-26 14:37:13,Wi-Fi,0.17,0.02,26,25
2026-08-26 14:37:14,Wi-Fi,0.09,1.21,62,128
2026-08-26 14:37:15,Wi-Fi,0.10,7.66,85,746
2026-08-26 14:37:16,Wi-Fi,0.08,12.73,126,1236
2026-08-26 14:37:17,Wi-Fi,0.10,0.01,6,10
2026-08-26 14:37:18,Wi-Fi,0.00,0.00,5,4
2026-08-26 14:37:19,Wi-Fi,0.02,0.00,4,3
2026-08-26 14:37:20,Wi-Fi,0.08,0.00,4,6
2026-08-26 14:37:21,Wi-Fi,0.18,0.01,2,14
2026-08-26 14:37:22,Wi-Fi,0.01,0.02,6,8
2026-08-26 14:37:23,Wi-Fi,0.05,0.00,3,6
2026-08-26 14:37:24,Wi-Fi,0.06,0.05,24,20
2026-08-26 14:37:25,Wi-Fi,0.08,0.05,12,17
2026-08-26 14:37:26,Wi-Fi,0.02,0.00,6,4
2026-08-26 14:37:27,Wi-Fi,0.00,0.00,2,2
2026-08-26 14:37:28,Wi-Fi,0.05,0.00,4,5
2026-08-26 14:37:29,Wi-Fi,0.01,0.00,4,1
2026-08-26 14:37:30,Wi-Fi,0.06,0.00,6,4
2026-08-26 14:37:31,Wi-Fi,0.00,0.00,0,0
2026-08-26 14:37:32,Wi-Fi,0.10,0.00,9,5
2026-08-26 14:37:33,Wi-Fi,0.02,0.00,5,5
2026-08-26 14:37:34,Wi-Fi,0.00,0.00,3,1
2026-08-27 11:49:15,Wi-Fi,0.00,0.00,2,3
2026-08-27 11:49:16,Wi-Fi,0.00,0.00,1,1
2026-08-27 11:49:17,Wi-Fi,0.00,0.00,4,6
2026-08-27 11:49:18,Wi-Fi,0.11,0.01,10,9
2026-08-27 11:49:19,Wi-Fi,0.00,0.02,4,14
2026-08-27 11:49:20,Wi-Fi,0.09,0.01,4,13
2026-08-27 11:49:21,Wi-Fi,0.00,0.00,1,2
2026-08-27 11:49:22,Wi-Fi,0.13,0.46,56,70
2026-08-27 11:49:23,Wi-Fi,0.21,0.51,71,83
2026-08-27 11:49:24,Wi-Fi,0.64,5.73,357,412
2026-08-27 11:49:26,Wi-Fi,0.23,12.28,480,708
2026-08-27 11:49:27,Wi-Fi,0.11,4.69,109,181
2026-08-27 11:49:28,Wi-Fi,0.33,0.73,103,122
2026-08-27 11:49:29,Wi-Fi,0.78,4.82,273,489
2026-08-27 11:49:30,Wi-Fi,0.14,4.48,89,462
2026-08-27 11:49:31,Wi-Fi,0.37,3.55,153,394
2026-08-27 11:49:32,Wi-Fi,0.46,6.83,174,730
2026-08-27 11:49:33,Wi-Fi,0.15,12.76,166,1266
2026-08-27 11:49:34,Wi-Fi,0.17,12.25,157,1216
2026-08-27 11:49:35,Wi-Fi,0.22,7.24,118,728
2026-08-27 11:49:36,Wi-Fi,0.11,4.61,88,484
2026-08-27 11:49:37,Wi-Fi,0.19,13.03,165,1296
2026-08-27 11:49:38,Wi-Fi,0.16,4.24,110,454
2026-08-27 11:49:39,Wi-Fi,0.12,4.53,90,467
2026-08-27 11:49:40,Wi-Fi,0.15,3.89,87,415
2026-08-27 11:49:41,Wi-Fi,0.11,5.40,85,552
2026-08-27 11:49:42,Wi-Fi,0.12,6.47,101,663
2026-08-27 11:49:43,Wi-Fi,0.15,6.60,102,671
2026-08-27 11:49:44,Wi-Fi,0.12,8.41,118,835
2026-08-27 11:49:45,Wi-Fi,0.12,8.61,122,859
2026-08-27 11:49:46,Wi-Fi,0.18,10.15,136,1002
2026-08-27 11:49:47,Wi-Fi,0.12,11.73,134,1152
2026-08-27 11:49:48,Wi-Fi,0.26,17.25,202,1694
2026-08-27 11:49:49,Wi-Fi,0.17,18.07,205,1773
2026-08-27 11:49:50,Wi-Fi,0.11,16.90,177,1639
2026-08-27 11:49:51,Wi-Fi,0.23,14.93,177,1456
2026-08-27 11:49:52,Wi-Fi,0.18,18.67,210,1846
2026-08-27 11:49:53,Wi-Fi,0.23,24.45,255,2384
2026-08-27 11:49:54,Wi-Fi,0.19,26.04,254,2525
2026-08-27 11:49:55,Wi-Fi,0.24,24.46,281,2379
2026-08-27 11:49:56,Wi-Fi,0.18,23.93,242,2323
2026-08-27 11:49:57,Wi-Fi,0.15,8.95,110,878
2026-08-27 11:49:58,Wi-Fi,0.14,15.70,168,1530
2026-08-27 11:49:59,Wi-Fi,0.24,18.03,192,1757
2026-08-27 11:50:00,Wi-Fi,0.22,24.41,257,2373
2026-08-27 11:50:01,Wi-Fi,0.19,25.84,261,2505
2026-08-27 11:50:02,Wi-Fi,0.31,26.45,292,2577
2026-08-27 11:50:03,Wi-Fi,0.19,24.69,250,2403
2026-08-27 11:50:04,Wi-Fi,0.24,27.70,291,2689
2026-08-27 11:50:05,Wi-Fi,0.24,28.17,286,2733
2026-08-27 11:50:06,Wi-Fi,0.23,25.41,262,2471
2026-08-27 11:50:07,Wi-Fi,0.27,30.48,315,2961
2026-08-27 11:50:08,Wi-Fi,0.22,29.19,298,2834
2026-08-27 11:50:09,Wi-Fi,0.21,28.57,289,2773
2026-08-27 11:50:10,Wi-Fi,0.12,17.75,186,1724
2026-08-27 11:59:41,Wi-Fi,0.00,0.00,1,1
2026-08-27 11:59:42,Wi-Fi,0.00,0.00,3,4
2026-08-27 12:04:52,Wi-Fi,0.00,0.00,2,0
2026-08-27 12:04:53,Wi-Fi,0.02,0.02,12,15
2026-08-27 12:04:54,Wi-Fi,0.11,0.00,10,0
2026-08-27 12:04:55,Wi-Fi,0.14,0.11,30,43
2026-08-27 12:04:56,Wi-Fi,0.00,0.00,5,5
2026-08-27 12:04:57,Wi-Fi,0.09,0.00,5,4
2026-08-27 12:04:58,Wi-Fi,0.00,0.01,3,13
2026-08-27 12:04:59,Wi-Fi,0.02,0.00,5,1
2026-08-27 12:05:00,Wi-Fi,0.06,0.09,12,16
2026-08-27 12:05:01,Wi-Fi,0.00,0.00,1,1
2026-08-27 12:05:02,Wi-Fi,0.05,0.07,13,13
2026-08-27 12:05:03,Wi-Fi,0.05,4.19,79,407
2026-08-27 12:05:04,Wi-Fi,0.15,8.10,108,811
2026-08-27 12:05:05,Wi-Fi,0.09,8.59,128,833
2026-08-27 12:05:06,Wi-Fi,0.42,7.44,171,788
2026-08-27 12:05:07,Wi-Fi,0.09,6.65,119,633
2026-08-27 12:05:08,Wi-Fi,0.27,2.13,117,235
2026-08-27 13:34:35,Wi-Fi,0.00,0.00,0,0
2026-08-27 13:34:36,Wi-Fi,0.00,0.00,4,2
2026-08-27 13:34:37,Wi-Fi,0.00,0.00,0,0
2026-08-27 13:34:38,Wi-Fi,0.29,0.49,67,95
2026-08-27 13:34:39,Wi-Fi,0.14,0.13,37,36
2026-08-27 13:34:40,Wi-Fi,0.15,0.78,74,108
2026-08-27 13:34:41,Wi-Fi,0.11,1.29,56,138
2026-08-27 13:34:42,Wi-Fi,0.17,1.91,109,222
2026-08-27 13:34:43,Wi-Fi,0.29,0.87,61,113
2026-08-27 13:34:44,Wi-Fi,0.41,3.83,169,429
2026-08-27 13:34:45,Wi-Fi,0.08,6.93,118,672
2026-08-27 13:34:46,Wi-Fi,0.10,6.98,118,705
2026-08-27 13:34:47,Wi-Fi,0.09,7.81,102,758
2026-08-27 13:34:48,Wi-Fi,0.07,9.52,118,927
2026-08-27 13:35:38,Wi-Fi,0.00,0.00,0,0
2026-08-27 13:35:39,Wi-Fi,0.00,0.00,3,2
2026-08-27 13:35:40,Wi-Fi,0.07,0.04,13,13
2026-08-27 13:35:41,Wi-Fi,0.01,0.01,12,7
2026-08-27 13:35:42,Wi-Fi,0.31,0.19,29,39
2026-08-27 13:35:43,Wi-Fi,0.02,0.01,8,15
2026-08-27 13:35:44,Wi-Fi,0.00,0.00,0,0
2026-08-27 13:35:45,Wi-Fi,0.00,0.00,1,0
2026-08-27 13:35:46,Wi-Fi,0.00,0.00,2,3
2026-08-27 13:35:47,Wi-Fi,0.18,0.20,42,43
2026-08-27 13:35:48,Wi-Fi,0.15,6.52,117,641
2026-08-27 13:35:49,Wi-Fi,0.09,13.71,151,1326
2026-08-27 13:35:50,Wi-Fi,0.18,15.17,189,1480
2026-08-27 13:35:51,Wi-Fi,0.13,14.65,177,1431
2026-08-27 13:35:52,Wi-Fi,0.10,15.23,164,1476
2026-08-27 13:35:53,Wi-Fi,0.21,13.97,177,1380
2026-08-27 13:35:54,Wi-Fi,0.09,12.83,152,1244
2026-08-27 13:35:55,Wi-Fi,0.07,10.29,123,998
2026-08-27 13:39:42,Wi-Fi,0.00,0.00,1,0
2026-08-27 13:39:43,Wi-Fi,0.00,0.00,2,0
2026-08-27 13:39:44,Wi-Fi,0.11,0.68,46,78
2026-08-27 13:39:45,Wi-Fi,0.08,8.45,120,822
2026-08-27 13:39:46,Wi-Fi,0.07,9.70,110,938
2026-08-27 13:39:47,Wi-Fi,0.06,8.01,99,775
2026-08-27 13:39:48,Wi-Fi,0.07,8.63,109,835
2026-08-27 13:40:37,Wi-Fi,0.00,0.00,0,0
2026-08-27 13:40:38,Wi-Fi,0.00,0.00,1,0
2026-08-27 13:40:39,Wi-Fi,0.02,0.00,7,4
2026-08-27 13:40:40,Wi-Fi,0.00,0.01,6,9
2026-08-27 13:40:41,Wi-Fi,0.00,0.00,0,1
2026-08-27 13:40:42,Wi-Fi,0.00,0.00,1,0
2026-08-27 13:40:43,Wi-Fi,0.01,0.00,2,0
2026-08-27 13:40:44,Wi-Fi,0.24,0.01,15,16
2026-08-27 13:40:45,Wi-Fi,0.13,1.48,71,173
2026-08-27 13:40:46,Wi-Fi,0.03,3.70,47,359
2026-08-27 13:40:48,Wi-Fi,0.03,5.16,55,499
2026-08-27 13:40:49,Wi-Fi,0.04,5.78,62,559
2026-08-27 13:40:50,Wi-Fi,0.03,4.23,51,411
2026-08-27 13:40:51,Wi-Fi,0.04,5.86,73,567
2026-08-27 13:40:52,Wi-Fi,0.05,6.93,79,672
2026-08-27 13:41:30,Wi-Fi,0.10,16.03,167,1552
2026-08-27 13:41:31,Wi-Fi,0.08,12.10,130,1171
2026-08-27 13:41:32,Wi-Fi,0.06,8.71,102,843
2026-08-27 13:41:33,Wi-Fi,0.10,9.62,115,936
2026-08-27 13:41:34,Wi-Fi,0.09,10.06,119,976
2026-08-27 13:41:35,Wi-Fi,0.05,6.52,85,633
2026-08-27 13:41:36,Wi-Fi,0.07,10.40,117,1006
